expeID,plate_id,time_hhmmss,time,temperature,well,row,column,signal,value,media_key,bacteria_key,has_media,has_bacteria,is_blank,is_empty
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A1,A,1,OD630,0.112,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A2,A,2,OD630,0.114,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A3,A,3,OD630,0.113,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A4,A,4,OD630,0.153,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A5,A,5,OD630,0.117,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A6,A,6,OD630,0.119,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A7,A,7,OD630,0.116,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A8,A,8,OD630,0.113,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A9,A,9,OD630,0.113,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A10,A,10,OD630,0.107,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A11,A,11,OD630,0.107,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,A12,A,12,OD630,0.109,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B1,B,1,OD630,0.118,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B2,B,2,OD630,0.12,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B3,B,3,OD630,0.121,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B4,B,4,OD630,0.121,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B5,B,5,OD630,0.122,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B6,B,6,OD630,0.123,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B7,B,7,OD630,0.123,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B8,B,8,OD630,0.125,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B9,B,9,OD630,0.121,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B10,B,10,OD630,0.107,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B11,B,11,OD630,0.106,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,B12,B,12,OD630,0.108,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C1,C,1,OD630,0.101,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C2,C,2,OD630,0.127,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C3,C,3,OD630,0.103,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C4,C,4,OD630,0.15,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C5,C,5,OD630,0.104,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C6,C,6,OD630,0.123,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C7,C,7,OD630,0.146,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C8,C,8,OD630,0.143,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C9,C,9,OD630,0.121,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C10,C,10,OD630,0.11,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C11,C,11,OD630,0.109,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,C12,C,12,OD630,0.104,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D1,D,1,OD630,0.104,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D2,D,2,OD630,0.106,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D3,D,3,OD630,0.106,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D4,D,4,OD630,0.107,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D5,D,5,OD630,0.107,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D6,D,6,OD630,0.112,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D7,D,7,OD630,0.106,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D8,D,8,OD630,0.106,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D9,D,9,OD630,0.109,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D10,D,10,OD630,0.079,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D11,D,11,OD630,0.08,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,D12,D,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E1,E,1,OD630,0.119,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E2,E,2,OD630,0.12,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E3,E,3,OD630,0.12,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E4,E,4,OD630,0.121,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E5,E,5,OD630,0.115,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E6,E,6,OD630,0.124,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E7,E,7,OD630,0.121,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E8,E,8,OD630,0.123,M1,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E9,E,9,OD630,0.121,M1,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E10,E,10,OD630,0.078,M1,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E11,E,11,OD630,0.081,M1,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,E12,E,12,OD630,0.08,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F1,F,1,OD630,0.12,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F2,F,2,OD630,0.14,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F3,F,3,OD630,0.172,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F4,F,4,OD630,0.136,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F5,F,5,OD630,0.113,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F6,F,6,OD630,0.113,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F7,F,7,OD630,0.191,M2,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F8,F,8,OD630,0.161,M2,B2,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F9,F,9,OD630,0.148,M2,B3,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F10,F,10,OD630,0.078,M2,B4,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F11,F,11,OD630,0.081,M2,MIX,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,F12,F,12,OD630,0.079,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,G1,G,1,OD630,0.121,M0,0,True,False,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,G2,G,2,OD630,0.123,M1,B1,True,True,False,False
Bactomata_Example,Plate1,0:00:00,0.0,30.0,G3,G,3,OD630,0.125,M1,B2,True,True,False,False
