expeID,well,row,column,media_key,bacteria_key,has_media,has_bacteria,is_blank,is_empty
Bactomata_Example,A1,A,1,M0,0,True,False,False,False
Bactomata_Example,A2,A,2,M1,B1,True,True,False,False
Bactomata_Example,A3,A,3,M1,B2,True,True,False,False
Bactomata_Example,A4,A,4,M1,B3,True,True,False,False
Bactomata_Example,A5,A,5,M1,B4,True,True,False,False
Bactomata_Example,A6,A,6,M1,MIX,True,True,False,False
Bactomata_Example,A7,A,7,M1,B1,True,True,False,False
Bactomata_Example,A8,A,8,M1,B2,True,True,False,False
Bactomata_Example,A9,A,9,M1,B3,True,True,False,False
Bactomata_Example,A10,A,10,M1,B4,True,True,False,False
Bactomata_Example,A11,A,11,M1,MIX,True,True,False,False
Bactomata_Example,A12,A,12,M0,0,True,False,False,False
Bactomata_Example,B1,B,1,M0,0,True,False,False,False
Bactomata_Example,B2,B,2,M2,B1,True,True,False,False
Bactomata_Example,B3,B,3,M2,B2,True,True,False,False
Bactomata_Example,B4,B,4,M2,B3,True,True,False,False
Bactomata_Example,B5,B,5,M2,B4,True,True,False,False
Bactomata_Example,B6,B,6,M2,MIX,True,True,False,False
Bactomata_Example,B7,B,7,M2,B1,True,True,False,False
Bactomata_Example,B8,B,8,M2,B2,True,True,False,False
Bactomata_Example,B9,B,9,M2,B3,True,True,False,False
Bactomata_Example,B10,B,10,M2,B4,True,True,False,False
Bactomata_Example,B11,B,11,M2,MIX,True,True,False,False
Bactomata_Example,B12,B,12,M0,0,True,False,False,False
Bactomata_Example,C1,C,1,M0,0,True,False,False,False
Bactomata_Example,C2,C,2,M1,B1,True,True,False,False
Bactomata_Example,C3,C,3,M1,B2,True,True,False,False
Bactomata_Example,C4,C,4,M1,B3,True,True,False,False
Bactomata_Example,C5,C,5,M1,B4,True,True,False,False
Bactomata_Example,C6,C,6,M1,MIX,True,True,False,False
Bactomata_Example,C7,C,7,M1,B1,True,True,False,False
Bactomata_Example,C8,C,8,M1,B2,True,True,False,False
Bactomata_Example,C9,C,9,M1,B3,True,True,False,False
Bactomata_Example,C10,C,10,M1,B4,True,True,False,False
Bactomata_Example,C11,C,11,M1,MIX,True,True,False,False
Bactomata_Example,C12,C,12,M0,0,True,False,False,False
Bactomata_Example,D1,D,1,M0,0,True,False,False,False
Bactomata_Example,D2,D,2,M2,B1,True,True,False,False
Bactomata_Example,D3,D,3,M2,B2,True,True,False,False
Bactomata_Example,D4,D,4,M2,B3,True,True,False,False
Bactomata_Example,D5,D,5,M2,B4,True,True,False,False
Bactomata_Example,D6,D,6,M2,MIX,True,True,False,False
Bactomata_Example,D7,D,7,M2,B1,True,True,False,False
Bactomata_Example,D8,D,8,M2,B2,True,True,False,False
Bactomata_Example,D9,D,9,M2,B3,True,True,False,False
Bactomata_Example,D10,D,10,M2,B4,True,True,False,False
Bactomata_Example,D11,D,11,M2,MIX,True,True,False,False
Bactomata_Example,D12,D,12,M0,0,True,False,False,False
Bactomata_Example,E1,E,1,M0,0,True,False,False,False
Bactomata_Example,E2,E,2,M1,B1,True,True,False,False
Bactomata_Example,E3,E,3,M1,B2,True,True,False,False
Bactomata_Example,E4,E,4,M1,B3,True,True,False,False
Bactomata_Example,E5,E,5,M1,B4,True,True,False,False
Bactomata_Example,E6,E,6,M1,MIX,True,True,False,False
Bactomata_Example,E7,E,7,M1,B1,True,True,False,False
Bactomata_Example,E8,E,8,M1,B2,True,True,False,False
Bactomata_Example,E9,E,9,M1,B3,True,True,False,False
Bactomata_Example,E10,E,10,M1,B4,True,True,False,False
Bactomata_Example,E11,E,11,M1,MIX,True,True,False,False
Bactomata_Example,E12,E,12,M0,0,True,False,False,False
Bactomata_Example,F1,F,1,M0,0,True,False,False,False
Bactomata_Example,F2,F,2,M2,B1,True,True,False,False
Bactomata_Example,F3,F,3,M2,B2,True,True,False,False
Bactomata_Example,F4,F,4,M2,B3,True,True,False,False
Bactomata_Example,F5,F,5,M2,B4,True,True,False,False
Bactomata_Example,F6,F,6,M2,MIX,True,True,False,False
Bactomata_Example,F7,F,7,M2,B1,True,True,False,False
Bactomata_Example,F8,F,8,M2,B2,True,True,False,False
Bactomata_Example,F9,F,9,M2,B3,True,True,False,False
Bactomata_Example,F10,F,10,M2,B4,True,True,False,False
Bactomata_Example,F11,F,11,M2,MIX,True,True,False,False
Bactomata_Example,F12,F,12,M0,0,True,False,False,False
Bactomata_Example,G1,G,1,M0,0,True,False,False,False
Bactomata_Example,G2,G,2,M1,B1,True,True,False,False
Bactomata_Example,G3,G,3,M1,B2,True,True,False,False
Bactomata_Example,G4,G,4,M1,B3,True,True,False,False
Bactomata_Example,G5,G,5,M1,B4,True,True,False,False
Bactomata_Example,G6,G,6,M1,MIX,True,True,False,False
Bactomata_Example,G7,G,7,M1,B1,True,True,False,False
Bactomata_Example,G8,G,8,M1,B2,True,True,False,False
Bactomata_Example,G9,G,9,M1,B3,True,True,False,False
Bactomata_Example,G10,G,10,M1,B4,True,True,False,False
Bactomata_Example,G11,G,11,M1,MIX,True,True,False,False
Bactomata_Example,G12,G,12,M0,0,True,False,False,False
Bactomata_Example,H1,H,1,M0,0,True,False,False,False
Bactomata_Example,H2,H,2,M2,B1,True,True,False,False
Bactomata_Example,H3,H,3,M2,B2,True,True,False,False
Bactomata_Example,H4,H,4,M2,B3,True,True,False,False
Bactomata_Example,H5,H,5,M2,B4,True,True,False,False
Bactomata_Example,H6,H,6,M2,MIX,True,True,False,False
Bactomata_Example,H7,H,7,M2,B1,True,True,False,False
Bactomata_Example,H8,H,8,M2,B2,True,True,False,False
Bactomata_Example,H9,H,9,M2,B3,True,True,False,False
Bactomata_Example,H10,H,10,M2,B4,True,True,False,False
Bactomata_Example,H11,H,11,M2,MIX,True,True,False,False
Bactomata_Example,H12,H,12,M0,0,True,False,False,False
